membership_id,firstname,lastname,email,date_of_birth,mobile_no,above_18
Gonzalez_345f8,Sherry,Gonzalez,Sherry_Gonzalez@caldwell.biz,19730314,66744895,yes
Brown_e4d2b,David,Brown,David_Brown@jackson-smith.biz,20010922,69082983,yes
Glass_a6a8f,Denise,Glass,Denise_Glass@calderon.org,19820531,77863943,yes
Wilson_6845c,Aaron,Wilson,Aaron_Wilson@burke-benton.net,19870517,75053391,yes
Hogan_a5d5c,Melissa,Hogan,Melissa_Hogan@rodriguez-hughes.biz,20150531,68883495,no
Weaver_feb81,Jennifer,Weaver,Jennifer_Weaver@patterson.com,19781015,74152151,yes
Ellison_93ac6,Brittany,Ellison,Brittany_Ellison@nolan.com,20040404,82360847,yes
Hamilton_f2276,Leonard,Hamilton,Leonard_Hamilton@brown.com,19880229,76082775,yes
Johnson_66ed1,Michael,Johnson,Michael_Johnson@martin.com,20160407,95308759,no
Newman_d7b88,Christopher,Newman,Christopher_Newman@campbell.info,19950925,93133527,yes
Paul Jones_f903f,Dr.,Paul Jones,Paul_Jones@clark-irwin.com,19940215,91301999,yes
Tran_40aaa,Danielle,Tran,Danielle_Tran@mann.com,19880826,85246679,yes
Simpson_7383f,Courtney,Simpson,Courtney_Simpson@preston-cantrell.com,19731103,77314887,yes
Hopkins_56d12,Kimberly,Hopkins,Kimberly_Hopkins@adams.com,19931022,67364511,yes
Lester_8140e,Christopher,Lester,Christopher_Lester@keller.org,19540504,79532575,yes
Robertson_e101e,Stephanie,Robertson,Stephanie_Robertson@owen-rodriguez.com,20020508,75259367,yes
Rogers_4ba87,Ashley,Rogers,Ashley_Rogers@elliott-johnson.com,20040612,97874903,yes
Stewart_40f40,Erika,Stewart,Erika_Stewart@solis.com,19851226,83552695,yes
Marshall_78a91,Sabrina,Marshall,Sabrina_Marshall@baker-yu.com,20181031,70301767,no
Murphy_9a0dd,Gary,Murphy,Gary_Murphy@singleton.info,19991210,96047135,yes
Archer_c6232,Nathan,Archer,Nathan_Archer@gray.com,19560723,72954367,yes
Lewis_0b2d6,Cassandra,Lewis,Cassandra_Lewis@ward.org,20120827,86877407,no
Patrick_ee840,Katherine,Patrick,Katherine_Patrick@rocha.com,20180427,87666807,no
Mejia_10b0a,Madison,Mejia,Madison_Mejia@sims.com,19530323,73824679,yes
